@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/home/jdilly/link_gui_out/2018-10-19/models/LHCB1/b1_flat_60_15cm/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_45_48_655/Beam1@Turn@2018_06_12@12_45_48_655.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_49_06_114/Beam1@Turn@2018_06_12@12_49_06_114.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_50_35_322/Beam1@Turn@2018_06_12@12_50_35_322.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_51_46_303/Beam1@Turn@2018_06_12@12_51_46_303.sdds.clean' '--output=/home/jdilly/link_gui_out/2018-10-19/LHCB1/Results/b1_18md2148_after_global_correction' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-10-19/models/LHCB1/b1_flat_60_15cm/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/lhc-app-beta-beating"
@ Date %s "19. October 2018, 15:15:25"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.26855226695906437
@ Q2 %le 0.3242188203187251
@ FILES %s "/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_45_48_655/Beam1@Turn@2018_06_12@12_45_48_655.sdds.clean_linx,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_49_06_114/Beam1@Turn@2018_06_12@12_49_06_114.sdds.clean_linx,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_50_35_322/Beam1@Turn@2018_06_12@12_50_35_322.sdds.clean_linx,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_51_46_303/Beam1@Turn@2018_06_12@12_51_46_303.sdds.clean_linx"
*                 NAME                    S                COUNT                    X                 STDX                 XMDL               MUXMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    4            -0.459908     0.01560381629122                    0        0.03528029622
        "BPMYB.4L2.B1"               48.858                    4          0.518240325    0.009440671599105                    0        0.06392927501
        "BPMWI.4L2.B1"              73.3255                    4         -0.686718175     0.01509109297026                    0         0.1153229375
        "BPMSX.4L2.B1"             123.4825                    4          0.984731725     0.01949933029715                    0         0.1842663651
         "BPMS.2L2.B1"              161.394                    4           0.61307905     0.01546231169595                    0         0.2345515488
        "BPMSW.1L2.B1"              171.328                    4           2.40641475    0.002708119031462                    0         0.2579272127
        "BPMSW.1R2.B1"              214.518                    4            1.5321415      0.0107565641703                    0         0.6201674404
         "BPMS.2R2.B1"              224.452                    4         -0.359418525      0.0163737397618                    0         0.6380898505
        "BPMSX.4R2.B1"             262.3635                    4         -0.189989525     0.01057226321026                    0          0.681534147
        "BPMWB.4R2.B1"             312.5965                    4            0.8305347    0.005500761760002                    0         0.7628227512
        "BPMYB.4R2.B1"              336.988                    4         -0.820353875     0.01036235298458                    0         0.7974978228
         "BPMR.5R2.B1"              366.522                    4          -0.26727355     0.00125809804575                    0         0.8784855209
          "BPM.6R2.B1"              439.818                    4         -0.223451075    0.006842979506187                    0         0.9988750963
        "BPM_A.7R2.B1"              452.693                    4            0.5534626     0.01170391396223                    0          1.014546638
          "BPM.8R2.B1"               494.13                    4            -0.303642     0.01149104281322                    0          1.096336291
          "BPM.9R2.B1"              533.195                    4            0.2684231    0.006637473313334                    0          1.252729618
         "BPM.10R2.B1"              573.658                    4        -0.0995398475    0.002619808215688                    0          1.415162754
         "BPM.11R2.B1"             625.4967                    4          0.126341875    0.005619052790026                    0          1.525617695
         "BPM.12R2.B1"             680.2203                    4          -0.01087714     0.01483467365501                    0          1.666783241
         "BPM.13R2.B1"             733.6688                    4         -0.388933625    0.006743949242994                    0          1.780236572
         "BPM.14R2.B1"             787.1173                    4            0.1881886    0.002957480675374                    0          1.917987935
         "BPM.15R2.B1"             840.5658                    4          -0.14068495     0.00710961047616                    0          2.029596306
         "BPM.16R2.B1"             894.0143                    4         -0.154344975     0.01498660194648                    0          2.163030419
         "BPM.17R2.B1"             947.4628                    4           0.25004305    0.007744205623737                    0          2.278624988
         "BPM.18R2.B1"             1000.911                    4           0.17422635    0.001151379187204                    0          2.416425125
         "BPM.19R2.B1"              1054.36                    4           -0.6746127    0.007031567835499                    0          2.528069826
         "BPM.20R2.B1"             1107.808                    4          0.042900585     0.01410055875956                    0          2.661460305
         "BPM.21R2.B1"             1161.257                    4           -0.1887053    0.003591136658527                    0          2.777016009
