@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/home/jdilly/link_gui_out/2018-10-19/models/LHCB1/b1_flat_60_15cm/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_45_48_655/Beam1@Turn@2018_06_12@12_45_48_655.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_49_06_114/Beam1@Turn@2018_06_12@12_49_06_114.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_50_35_322/Beam1@Turn@2018_06_12@12_50_35_322.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_51_46_303/Beam1@Turn@2018_06_12@12_51_46_303.sdds.clean' '--output=/home/jdilly/link_gui_out/2018-10-19/LHCB1/Results/b1_18md2148_after_global_correction' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-10-19/models/LHCB1/b1_flat_60_15cm/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/lhc-app-beta-beating"
@ Date %s "19. October 2018, 15:15:25"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.26855226695906437
@ Q2 %le 0.3242188203187251
@ FILES %s "/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_45_48_655/Beam1@Turn@2018_06_12@12_45_48_655.sdds.clean_liny,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_49_06_114/Beam1@Turn@2018_06_12@12_49_06_114.sdds.clean_liny,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_50_35_322/Beam1@Turn@2018_06_12@12_50_35_322.sdds.clean_liny,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_51_46_303/Beam1@Turn@2018_06_12@12_51_46_303.sdds.clean_liny"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    4         -0.328550125     0.01071358643602                    0        0.08855800618
        "BPMYB.4L2.B1"               48.858                    4          -0.41047085    0.007888650071637                    0         0.1361231422
        "BPMWI.4L2.B1"              73.3255                    4         -0.250540675     0.01427971915593                    0         0.1710485553
        "BPMSX.4L2.B1"             123.4825                    4          -0.14398015    0.005001077076263                    0         0.2525978349
         "BPMS.2L2.B1"              161.394                    4         -0.153159075    0.002407740107879                    0         0.2961748358
        "BPMSW.1L2.B1"              171.328                    4            0.2325795     0.00247305973143                    0          0.314123393
        "BPMSW.1R2.B1"              214.518                    4            1.6247415    0.004079623175079                    0         0.6758516551
         "BPMS.2R2.B1"              224.452                    4             1.119363    0.006530394857893                    0         0.6993376173
        "BPMSX.4R2.B1"             262.3635                    4         -0.109730575    0.007896784981377                    0         0.7498546524
        "BPMWB.4R2.B1"             312.5965                    4         -0.233754175    0.008162126230775                    0         0.8191182217
        "BPMYB.4R2.B1"              336.988                    4         -0.235581925    0.003239668827535                    0         0.8703234684
         "BPMR.5R2.B1"              366.522                    4           0.13420155    0.002723838009632                    0          0.907307987
          "BPM.6R2.B1"              439.818                    4          -0.38229565     0.00933626219655                    0          1.164391255
        "BPM_A.7R2.B1"              452.693                    4           -0.1212953     0.01009307044438                    0          1.194005784
          "BPM.8R2.B1"               494.13                    4           0.36683715    0.005230887659158                    0          1.284055314
          "BPM.9R2.B1"              533.195                    4           0.08657413    0.006581774320179                    0          1.387420369
         "BPM.10R2.B1"              573.658                    4         -0.068398905    0.004648385535231                    0          1.483461849
         "BPM.11R2.B1"             625.4967                    4          -0.12813655    0.008883428048491                    0          1.618551665
         "BPM.12R2.B1"             680.2203                    4          0.169461875    0.002681861278497                    0          1.736909777
         "BPM.13R2.B1"             733.6688                    4           -0.1213075    0.005402908811022                    0          1.879878825
         "BPM.14R2.B1"             787.1173                    4         -0.096563035    0.003777808783401                    0          1.991433253
         "BPM.15R2.B1"             840.5658                    4          -0.15161615    0.003638348807181                    0          2.123277451
         "BPM.16R2.B1"             894.0143                    4          0.299397225    0.005461275870353                    0          2.230569495
         "BPM.17R2.B1"             947.4628                    4          -0.04112634    0.002998959869558                    0          2.358301067
         "BPM.18R2.B1"             1000.911                    4          0.134113675    0.004823080299155                    0          2.469356186
         "BPM.19R2.B1"              1054.36                    4       -0.01726567475    0.006659340059984                    0          2.601800592
         "BPM.20R2.B1"             1107.808                    4           0.26592715    0.004107956072395                    0          2.709630542
         "BPM.21R2.B1"             1161.257                    4          -0.34106465    0.006690494530507                    0          2.836877299
