@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/home/jdilly/link_gui_out/2018-10-19/models/LHCB1/b1_flat_60_15cm/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_45_48_655/Beam1@Turn@2018_06_12@12_45_48_655.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_49_06_114/Beam1@Turn@2018_06_12@12_49_06_114.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_50_35_322/Beam1@Turn@2018_06_12@12_50_35_322.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_51_46_303/Beam1@Turn@2018_06_12@12_51_46_303.sdds.clean' '--output=/home/jdilly/link_gui_out/2018-10-19/LHCB1/Results/b1_18md2148_after_global_correction' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-10-19/models/LHCB1/b1_flat_60_15cm/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/lhc-app-beta-beating"
@ Date %s "19. October 2018, 15:15:25"
@ Q1 %le 0.28055220695906696
@ Q2 %le 0.30921871031872256
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_45_48_655/Beam1@Turn@2018_06_12@12_45_48_655.sdds.clean_linx,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_49_06_114/Beam1@Turn@2018_06_12@12_49_06_114.sdds.clean_linx,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_50_35_322/Beam1@Turn@2018_06_12@12_50_35_322.sdds.clean_linx,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_51_46_303/Beam1@Turn@2018_06_12@12_51_46_303.sdds.clean_linx"
*                 NAME                    S                COUNT                 BETX              SYSBETX             STATBETX              ERRBETX        CORR_ALFABETA                 ALFX              SYSALFX             STATALFX              ERRALFX              BETXMDL              ALFXMDL               MUXMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    4      -972.1381478324                    0                    0        2.05052171897                    0      -15.44426832967                    0                    0     0.03184318378227          160.1973466          2.292699766        0.03528029622                   43
        "BPMYB.4L2.B1"               48.858                    4      -381.0203932319                    0                    0       1.153074136687                    0      -6.172097434029                    0                    0     0.02279112356595           82.4007283           1.48934293        0.06392927501                   43
        "BPMWI.4L2.B1"              73.3255                    4        29.0742524241                    0                    0       1.967282805076                    0       1.610323897558                    0                    0     0.02090148340974          83.52900134        -0.4969012149         0.1153229375                   35
        "BPMSX.4L2.B1"             123.4825                    4       76.05839887474                    0                    0       6.066146259613                    0     -0.2592322247599                    0                    0     0.07855434746243          170.9295827         -1.245638837         0.1842663651                   35
         "BPMS.2L2.B1"              161.394                    4       24.04813079904                    0                    0       2.317718838909                    0      -1.135621540787                    0                    0     0.08256156755119          63.54662841         -1.300442267         0.2345515488                   42
        "BPMSW.1L2.B1"              171.328                    4       13.03854364744                    0                    0       2.252599242205                    0      -1.184660355763                    0                    0      0.0611725724718          56.74365557          2.165076472         0.2579272127                   33
        "BPMSW.1R2.B1"              214.518                    4        81.7248063689                    0                    0       1.265270529614                    0     -0.4279253357343                    0                    0     0.03269581233656          56.69558336         -2.163963432         0.6201674404                   34
         "BPMS.2R2.B1"              224.452                    4       176.8099877745                    0                    0        3.12973619227                    0      -9.301295700306                    0                    0      0.1745780313181          173.6918166         -10.85688667         0.6380898505                   41
        "BPMSX.4R2.B1"             262.3635                    4       96.69199118831                    0                    0       1.264311436676                    0       0.174261125927                    0                    0      0.0138640909413          100.4465881         0.2150005823          0.681534147                   34
        "BPMWB.4R2.B1"             312.5965                    4       108.0137366807                    0                    0        1.05257624659                    0     -0.3193473460526                    0                    0      0.0100975813618          105.1289344        -0.3082131376         0.7628227512                   35
        "BPMYB.4R2.B1"              336.988                    4       105.9982744507                    0                    0       1.649099470396                    0       1.841259371228                    0                    0        0.02718454006          103.9234399          1.799589478         0.7974978228                   42
         "BPMR.5R2.B1"              366.522                    4       43.33420224781                    0                    0      0.2929938586462                    0     -0.4675379070024                    0                    0    0.009386670289848          42.93228579        -0.4837701977         0.8784855209                   44
          "BPM.6R2.B1"              439.818                    4       187.6355694342                    0                    0       3.070914166408                    0       4.644920877643                    0                    0      0.0770235779709          191.1587916          4.724462348         0.9988750963                   44
        "BPM_A.7R2.B1"              452.693                    4       88.15499746294                    0                    0      0.9453207491014                    0       3.104821296928                    0                    0     0.03568142124785          89.72657429          3.153768122          1.014546638                   44
          "BPM.8R2.B1"               494.13                    4       105.3261812364                    0                    0       1.214467583961                    0     -0.8682695176075                    0                    0     0.01807891483322           107.282564        -0.8720459779          1.096336291                   44
          "BPM.9R2.B1"              533.195                    4       17.49333406923                    0                    0      0.1593645695639                    0      0.2228710033731                    0                    0    0.009863786483974          17.19361746         0.2311244036          1.252729618                   44
