@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/home/jdilly/link_gui_out/2018-10-19/models/LHCB1/b1_flat_60_15cm/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_45_48_655/Beam1@Turn@2018_06_12@12_45_48_655.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_49_06_114/Beam1@Turn@2018_06_12@12_49_06_114.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_50_35_322/Beam1@Turn@2018_06_12@12_50_35_322.sdds.clean,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_51_46_303/Beam1@Turn@2018_06_12@12_51_46_303.sdds.clean' '--output=/home/jdilly/link_gui_out/2018-10-19/LHCB1/Results/b1_18md2148_after_global_correction' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-10-19/models/LHCB1/b1_flat_60_15cm/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/lhc-app-beta-beating"
@ Date %s "19. October 2018, 15:15:25"
@ Q1 %le 0.28055220695906696
@ Q2 %le 0.30921871031872256
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_45_48_655/Beam1@Turn@2018_06_12@12_45_48_655.sdds.clean_liny,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_49_06_114/Beam1@Turn@2018_06_12@12_49_06_114.sdds.clean_liny,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_50_35_322/Beam1@Turn@2018_06_12@12_50_35_322.sdds.clean_liny,/home/jdilly/link_gui_out/2018-10-19/LHCB1/Measurements/Beam1@Turn@2018_06_12@12_51_46_303/Beam1@Turn@2018_06_12@12_51_46_303.sdds.clean_liny"
*                 NAME                    S                COUNT                 BETY              SYSBETY             STATBETY              ERRBETY        CORR_ALFABETA                 ALFY              SYSALFY             STATALFY              ERRALFY              BETYMDL              ALFYMDL               MUYMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    4      -102.8331588245                    0                    0      0.4424489317759                    0      0.1750307375676                    0                    0    0.005702167717069          47.11684179        -0.9552624372        0.08855800618                   44
        "BPMYB.4L2.B1"               48.858                    4       374.4327652704                    0                    0       1.580457276955                    0       -3.78778512493                    0                    0     0.02332574167216          103.5914605         -1.790222188         0.1361231422                   35
        "BPMWI.4L2.B1"              73.3255                    4       215.4872218377                    0                    0       2.518485610439                    0       2.260053198493                    0                    0     0.02456859939018          104.6167925          0.308007765         0.1710485553                   35
        "BPMSX.4L2.B1"             123.4825                    4       37.24374921168                    0                    0       7.764089895705                    0       1.016090696259                    0                    0     0.08416319699328          100.0476597        -0.2169111535         0.2525978349                   35
         "BPMS.2L2.B1"              161.394                    4       -105.067740483                    0                    0       2.440735647942                    0      -11.12842121735                    0                    0      0.0818696812059          173.3500594          10.83111714         0.2961748358                   42
        "BPMSW.1L2.B1"              171.328                    4       48.55775192344                    0                    0       1.632246903213                    0      -2.319222251872                    0                    0     0.02966712051006          56.64266664          2.157205556          0.314123393                   34
        "BPMSW.1R2.B1"              214.518                    4       63.84412406725                    0                    0       2.181252803704                    0       3.518864921666                    0                    0      0.0395716841675           56.4874685         -2.153612174         0.6758516551                   34
         "BPMS.2R2.B1"              224.452                    4       111.9620586871                    0                    0       1.235110316584                    0      -1.902239539456                    0                    0     0.01310698609824           63.2409647          1.294493461         0.6993376173                   40
        "BPMSX.4R2.B1"             262.3635                    4       131.1039576125                    0                    0        3.05886208091                    0      0.4960362901848                    0                    0     0.03245843791107          170.2350237           1.23802269         0.7498546524                   33
        "BPMWB.4R2.B1"             312.5965                    4       83.40283026544                    0                    0      0.2846649768423                    0      0.4908161821142                    0                    0    0.003214803903253          83.39746366         0.4906727884         0.8191182217                   34
        "BPMYB.4R2.B1"              336.988                    4       78.86374764891                    0                    0      0.8222453311763                    0      -1.345597680719                    0                    0      0.0209896420825          82.59142457         -1.496990227         0.8703234684                   42
         "BPMR.5R2.B1"              366.522                    4       160.1824062981                    0                    0      0.6619527242668                    0       2.252657009697                    0                    0    0.002901293195677          161.9987921          2.283688024          0.907307987                   43
          "BPM.6R2.B1"              439.818                    4       46.27325346068                    0                    0       1.366710502775                    0      -1.902052455522                    0                    0     0.04777028837428          44.72426698         -1.838320595          1.164391255                   44
        "BPM_A.7R2.B1"              452.693                    4       110.2529625174                    0                    0      0.9110214357976                    0      -3.155291822669                    0                    0    0.004571925708999          108.2928753         -3.099047039          1.194005784                   45
          "BPM.8R2.B1"               494.13                    4        39.6884834921                    0                    0      0.2967461066147                    0      0.6720200075545                    0                    0    0.005984138688391          39.41552625          0.649208186          1.284055314                   44
          "BPM.9R2.B1"              533.195                    4       123.2410186392                    0                    0       1.580219683194                    0      -1.867028106732                    0                    0     0.02203762786905          125.2810118         -1.917716905          1.387420369                   35
