@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/home/jdilly/link_gui_out/2018-10-31/models/LHCB1/flatopticsb1_60_15/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_01_48_047/Beam1@Turn@2018_10_30@13_01_48_047.sdds,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_03_13_684/Beam1@Turn@2018_10_30@13_03_13_684.sdds,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_04_27_548/Beam1@Turn@2018_10_30@13_04_27_548.sdds' '--output=/home/jdilly/link_gui_out/2018-10-31/LHCB1/Results/b1_md3312_forcoupling' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-10-31/models/LHCB1/flatopticsb1_60_15/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 09:59:47"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.2684633077706444
@ Q2 %le 0.3239519167132584
@ FILES %s "/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_01_48_047/Beam1@Turn@2018_10_30@13_01_48_047.sdds.linx,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_03_13_684/Beam1@Turn@2018_10_30@13_03_13_684.sdds.linx,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_04_27_548/Beam1@Turn@2018_10_30@13_04_27_548.sdds.linx"
*                 NAME                    S                COUNT                    X                 STDX                 XMDL               MUXMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    3     -0.3213417207744    0.005202973454309                    0        0.03521933011
        "BPMYB.4L2.B1"               48.858                    3      0.5556351954143    0.003176381581918                    0        0.06384073934
        "BPMWI.4L2.B1"              73.3255                    3     -0.6024495247839    0.007786141315773                    0         0.1152446884
        "BPMSX.4L2.B1"             123.4825                    3       1.563898031955    0.007008012879671                    0         0.1843071882
         "BPMS.2L2.B1"              161.394                    3       1.599807610718     0.01041097804832                    0         0.2347105485
        "BPMSW.1L2.B1"              171.328                    3       3.879552874717     0.00223394193066                    0         0.2581354768
        "BPMSW.1R2.B1"              214.518                    3        2.98606827132    0.006106402567275                    0         0.6200941071
         "BPMS.2R2.B1"              224.452                    3       1.588379773996    0.001477737883193                    0         0.6380400023
        "BPMSX.4R2.B1"             262.3635                    3      0.9939397695769      0.0066391625136                    0         0.6815687561
        "BPMWB.4R2.B1"             312.5965                    3       1.692474143762    0.005597186461236                    0         0.7630402405
        "BPMYB.4R2.B1"              336.988                    3     -0.2065688535394    0.005142786349091                    0         0.7977656937
         "BPMR.5R2.B1"              366.522                    3     -0.3429489217039    0.003548920961699                    0         0.8787409927
          "BPM.6R2.B1"              439.818                    3    -0.05448033850213    0.002655597982908                    0         0.9988774201
        "BPM_A.7R2.B1"              452.693                    3        0.61058376673    0.004157545370711                    0          1.014518474
          "BPM.8R2.B1"          494.1300106                    3     -0.2731911651353    0.003098236901697                    0          1.096245149
          "BPM.9R2.B1"          533.1950212                    3      0.2391485469511    0.003589681923498                    0          1.252927623
         "BPM.10R2.B1"          573.6580318                    3     -0.1748363571725     0.00245010085772                    0          1.415355648
         "BPM.11R2.B1"          625.4967424                    3     0.05589948577357    0.001458572887596                    0          1.525570819
         "BPM.12R2.B1"          680.2202583                    3    -0.07249026608159    0.002492712770901                    0           1.66678574
         "BPM.13R2.B1"          733.6687742                    3     -0.3895887564006    0.001362379909257                    0           1.78048292
         "BPM.14R2.B1"          787.1172901                    3      0.1839497573354   0.0005763096706292                    0          1.918174971
         "BPM.15R2.B1"           840.565806                    3     -0.1375545135058   0.0005541719284547                    0          2.030387124
         "BPM.16R2.B1"          894.0143219                    3    -0.08169017491487    0.002750007567701                    0          2.164961946
         "BPM.17R2.B1"          947.4628378                    3      0.2342180790526    0.002893388968436                    0          2.280761686
         "BPM.18R2.B1"          1000.911354                    3      0.1150833672035     0.00153197087121                    0          2.418448947
