@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/home/jdilly/link_gui_out/2018-10-31/models/LHCB1/flatopticsb1_60_15/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_01_48_047/Beam1@Turn@2018_10_30@13_01_48_047.sdds,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_03_13_684/Beam1@Turn@2018_10_30@13_03_13_684.sdds,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_04_27_548/Beam1@Turn@2018_10_30@13_04_27_548.sdds' '--output=/home/jdilly/link_gui_out/2018-10-31/LHCB1/Results/b1_md3312_forcoupling' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-10-31/models/LHCB1/flatopticsb1_60_15/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 09:59:47"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.2684633077706444
@ Q2 %le 0.3239519167132584
@ FILES %s "/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_01_48_047/Beam1@Turn@2018_10_30@13_01_48_047.sdds.liny,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_03_13_684/Beam1@Turn@2018_10_30@13_03_13_684.sdds.liny,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_04_27_548/Beam1@Turn@2018_10_30@13_04_27_548.sdds.liny"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    3     -0.2685292727782     0.01480786285111                    0        0.08859974516
        "BPMYB.4L2.B1"               48.858                    3      -0.449898869982    0.008142469398711                    0         0.1360894605
        "BPMWI.4L2.B1"              73.3255                    3      -0.289233681612     0.01174406062665                    0         0.1709311898
        "BPMSX.4L2.B1"             123.4825                    3    -0.08962720760357    0.004733782508417                    0         0.2522885672
         "BPMS.2L2.B1"              161.394                    3     -0.1905848298738    0.004997267394823                    0         0.2958173515
        "BPMSW.1L2.B1"              171.328                    3      0.3146525996095    0.005740835543345                    0         0.3137632467
        "BPMSW.1R2.B1"              214.518                    3       1.622232519906    0.005878874191906                    0         0.6757218771
         "BPMS.2R2.B1"              224.452                    3       1.165967076208    0.002677685117303                    0         0.6991468053
        "BPMSX.4R2.B1"             262.3635                    3     0.01741126373896    0.003346446218733                    0         0.7495501836
        "BPMWB.4R2.B1"             312.5965                    3     -0.1136239389869    0.008584163862434                    0         0.8187592129
        "BPMYB.4R2.B1"              336.988                    3     -0.1765959968242    0.007618039835508                    0         0.8700205755
         "BPMR.5R2.B1"              366.522                    3     0.08921830748531     0.01059396116448                    0         0.9070855285
          "BPM.6R2.B1"              439.818                    3     -0.3355011571394   0.0009343775610662                    0          1.164290874
        "BPM_A.7R2.B1"              452.693                    3     -0.1919793452378    0.008283533449863                    0          1.193828726
          "BPM.8R2.B1"          494.1300106                    3      0.3454601004351    0.002709499058939                    0          1.283705528
          "BPM.9R2.B1"          533.1950212                    3     0.04039232810214     0.01049641022339                    0          1.387151595
         "BPM.10R2.B1"          573.6580318                    3     -0.1030138194615    0.003176787560821                    0          1.483429356
         "BPM.11R2.B1"          625.4967424                    3     -0.1050030948212    0.005968647107651                    0          1.618552452
         "BPM.12R2.B1"          680.2202583                    3      0.1385463513418    0.003432047959907                    0          1.736630282
         "BPM.13R2.B1"          733.6687742                    3     -0.1473223732173    0.002763935928082                    0           1.87959424
         "BPM.14R2.B1"          787.1172901                    3    -0.04750479406413    0.001066549597798                    0           1.99141716
         "BPM.15R2.B1"           840.565806                    3     -0.1350420449885    0.004854735083016                    0          2.123060958
         "BPM.16R2.B1"          894.0143219                    3       0.247593243043    0.005900437961424                    0          2.230294735
         "BPM.17R2.B1"          947.4628378                    3      -0.110724891151    0.005051945288944                    0          2.358539287
         "BPM.18R2.B1"          1000.911354                    3       0.170870505041    0.002784448025563                    0          2.469959614
         "BPM.19R2.B1"           1054.35987                    3    -0.04074952858799    0.004251715450237                    0          2.602249943
         "BPM.20R2.B1"          1107.808386                    3       0.210271594877    0.002855435845891                    0          2.709931125
         "BPM.21R2.B1"          1161.256901                    3     -0.3779015525525     0.00656579739064                    0          2.837626772
         "BPM.22R2.B1"          1214.705417                    3      0.3119766090052    0.001910674785299                    0          2.948507629
         "BPM.23R2.B1"          1268.153933                    3    -0.06414154740987    0.006500134846636                    0          3.080591339
         "BPM.24R2.B1"          1321.602449                    3     -0.2517899217049    0.001712388310193                    0          3.191472352
         "BPM.25R2.B1"          1375.050965                    3    -0.06819215375979     0.00624201930576                    0          3.323556062
         "BPM.26R2.B1"          1428.499481                    3      0.3060289602173    0.003240562436508                    0          3.434437075
         "BPM.27R2.B1"          1481.947997                    3     0.02190334742358    0.001534843686648                    0          3.566520785
         "BPM.28R2.B1"          1535.396513                    3     0.04007017168267   0.0007165701487501                    0          3.677401798
         "BPM.29R2.B1"          1588.845029                    3     -0.1697823882655    0.003785474189023                    0          3.809485508
         "BPM.30R2.B1"          1642.293545                    3    -0.04787226971178    0.002565716006859                    0          3.920366521
         "BPM.31R2.B1"           1695.74206                    3      0.1074914782521    0.002971404335296                    0          4.052450231
         "BPM.32R2.B1"          1749.190576                    3      -0.497853529278    0.003666996594337                    0          4.163331244
         "BPM.33R2.B1"          1802.639092                    3      0.1746463017501     0.00597963659139                    0          4.295414954
         "BPM.34R2.B1"          1856.087608                    3     -0.1818960269995    0.003168349449713                    0          4.406295967
         "BPM.33L3.B1"          1909.536124                    3     0.05949301841222    0.002449278452732                    0          4.538379677
         "BPM.32L3.B1"           1962.98464                    3      0.3894070494915    0.002138796168226                    0           4.64926069
         "BPM.31L3.B1"          2016.433156                    3      -0.194224949001    0.001007068481445                    0            4.7813444
         "BPM.30L3.B1"          2069.881672                    3     -0.0682272764927    0.001690680693187                    0          4.892225413
         "BPM.29L3.B1"          2123.330188                    3     -0.0496169691127    0.002104544739971                    0          5.024309123
         "BPM.27L3.B1"           2230.22722                    3     0.06235740756156    0.002117550228148                    0          5.267273846
         "BPM.26L3.B1"          2283.675735                    3    -0.03618184060347    0.001572516137724                    0          5.378154859
         "BPM.25L3.B1"          2337.124251                    3       0.216672899691   0.0008076763439985                    0          5.510238569
         "BPM.24L3.B1"          2390.572767                    3     -0.2488221334812    0.001775783603906                    0          5.621119582
         "BPM.23L3.B1"          2444.021283                    3    -0.06518325461587    0.001283263389801                    0          5.753203292
         "BPM.22L3.B1"          2497.469799                    3      0.3099285734456    0.002316444963577                    0          5.864084305
         "BPM.21L3.B1"          2550.918315                    3    -0.05490371877905   3.628065406678e-05                    0          5.996168015
         "BPM.20L3.B1"          2604.366831                    3     -0.2916924240735    0.001676407519702                    0          6.103788614
         "BPM.19L3.B1"          2657.815347                    3    -0.01721285078599    0.002130605922509                    0           6.23167373
         "BPM.18L3.B1"          2711.263863                    3      0.3752328902338    0.005877163940852                    0           6.34264426
         "BPM.17L3.B1"          2764.712379                    3    -0.01839412595726    0.001537665954306                    0           6.47524839
         "BPM.16L3.B1"          2818.160894                    3      0.1623622372561    0.001185758030859                    0          6.583394511
         "BPM.15L3.B1"           2871.60941                    3    -0.02862632618058    0.001737276067035                    0           6.71086656
         "BPM.14L3.B1"          2925.057926                    3    -0.06569389350974    0.004274751263113                    0          6.821239123
         "BPM.13L3.B1"          2978.506442                    3     -0.1360108368815    0.001154517411219                    0          6.954190574
         "BPM.12L3.B1"          3031.954958                    3      0.2868761342221    0.001203847522905                    0            7.0685978
         "BPM.11L3.B1"          3085.403474                    3    -0.05078475832004    0.001226418331953                    0          7.200651152
         "BPM.10L3.B1"          3138.184185                    3     0.01769363272819    0.001889172141457                    0          7.308477326
