@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/home/jdilly/link_gui_out/2018-10-31/models/LHCB1/flatopticsb1_60_15/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_01_48_047/Beam1@Turn@2018_10_30@13_01_48_047.sdds,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_03_13_684/Beam1@Turn@2018_10_30@13_03_13_684.sdds,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_04_27_548/Beam1@Turn@2018_10_30@13_04_27_548.sdds' '--output=/home/jdilly/link_gui_out/2018-10-31/LHCB1/Results/b1_md3312_forcoupling' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-10-31/models/LHCB1/flatopticsb1_60_15/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 09:59:47"
@ Q1 %le 0.2804633077706449
@ Q2 %le 0.3089519367132595
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_01_48_047/Beam1@Turn@2018_10_30@13_01_48_047.sdds.linx,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_03_13_684/Beam1@Turn@2018_10_30@13_03_13_684.sdds.linx,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_04_27_548/Beam1@Turn@2018_10_30@13_04_27_548.sdds.linx"
*                 NAME                    S                COUNT                 BETX              SYSBETX             STATBETX              ERRBETX        CORR_ALFABETA                 ALFX              SYSALFX             STATALFX              ERRALFX              BETXMDL              ALFXMDL               MUXMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    3       157.3388547383                    0                    0         1.8575311504                    0       2.324066246681                    0                    0     0.03288584309142          160.4126248          2.297756106        0.03521933011                   35
        "BPMYB.4L2.B1"               48.858                    3       78.55168289924                    0                    0      0.8581401059649                    0       1.468586972443                    0                    0     0.01998542255804          82.44703567          1.492501021        0.06384073934                   43
        "BPMWI.4L2.B1"              73.3255                    3       78.03097334133                    0                    0       0.566120834878                    0     -0.4364369723182                    0                    0     0.01437228499835          83.44984733        -0.4942401819         0.1152446884                   35
        "BPMSX.4L2.B1"             123.4825                    3       163.1052025175                    0                    0       2.433369005778                    0      -1.243074241067                    0                    0     0.02931743585471          170.5396008          -1.24210277         0.1843071882                   35
         "BPMS.2L2.B1"              161.394                    3       63.14406913207                    0                    0       1.517028617172                    0       -1.35041942302                    0                    0     0.05811945919528          63.40362159         -1.298304993         0.2347105485                   42
        "BPMSW.1L2.B1"              171.328                    3         57.785959008                    0                    0       2.238250468805                    0       2.145645919692                    0                    0     0.05968334307826          56.63440251               2.1595         0.2581354768                   34
        "BPMSW.1R2.B1"              214.518                    3       53.86665495902                    0                    0       1.563854060467                    0      -2.061577253805                    0                    0     0.04667933909476          56.63440248         -2.159499999         0.6200941071                   34
         "BPMS.2R2.B1"              224.452                    3       164.9118333521                    0                    0       2.368555276889                    0      -10.32996269368                    0                    0      0.1277557893021          173.4265763         -10.83847449         0.6380400023                   42
        "BPMSX.4R2.B1"             262.3635                    3       96.99540310963                    0                    0       1.461480323712                    0      0.1746057772266                    0                    0     0.01350874111973          100.2199441         0.2152875685         0.6815687561                   35
        "BPMWB.4R2.B1"             312.5965                    3       106.3561241327                    0                    0      0.8122146272916                    0     -0.3661588541478                    0                    0    0.007360623985702          104.9360044        -0.3091712763         0.7630402405                   36
        "BPMYB.4R2.B1"              336.988                    3       106.9463694296                    0                    0       1.253413019281                    0       1.814341027921                    0                    0     0.02470459842947          103.8174095          1.795596228         0.7977656937                   42
         "BPMR.5R2.B1"              366.522                    3       45.31118193082                    0                    0      0.1293716639753                    0     -0.5065912162879                    0                    0    0.005566871188099          42.98813925        -0.4864033342         0.8787409927                   44
          "BPM.6R2.B1"              439.818                    3       191.7248401437                    0                    0       1.313400069405                    0       4.788202615562                    0                    0     0.03443848145449          191.5561002          4.735461687         0.9988774201                   43
        "BPM_A.7R2.B1"              452.693                    3       89.24577400786                    0                    0      0.9075817095159                    0       3.185036607974                    0                    0     0.03591660361162          89.88874942           3.16103158          1.014518474                   35
          "BPM.8R2.B1"          494.1300106                    3       102.5918670127                    0                    0       1.320958944996                    0     -0.8178511843956                    0                    0      0.0207020552864            107.23932        -0.8693417249          1.096245149                   43
          "BPM.9R2.B1"          533.1950212                    3       17.19453441187                    0                    0      0.1218230835415                    0      0.1827812487077                    0                    0    0.004922883993793          17.15900399         0.2293800895          1.252927623                   43
         "BPM.10R2.B1"          573.6580318                    3       170.2379479748                    0                    0       1.610197993912                    0      -3.596236513665                    0                    0     0.03073804356841          162.4269377         -3.454646319          1.415355648                   34
         "BPM.11R2.B1"          625.4967424                    3        32.8891283025                    0                    0      0.3055332540013                    0      0.6198852473174                    0                    0     0.01502809333176          32.89795492          0.576341797          1.525570819                   26
         "BPM.12R2.B1"          680.2202583                    3       167.0221864609                    0                    0       2.262435056148                    0      -2.293976772359                    0                    0     0.03328640985847          173.7353075         -2.372465196           1.66678574                   32
         "BPM.13R2.B1"          733.6687742                    3        33.4322135912                    0                    0      0.3530883012466                    0       0.493978919779                    0                    0     0.01097699215751          33.14556789         0.5359119071           1.78048292                   31
         "BPM.14R2.B1"          787.1172901                    3       178.3777075578                    0                    0       1.225706642452                    0      -2.445617850203                    0                    0     0.01809360836431           170.349694         -2.347460093          1.918174971                   24
         "BPM.15R2.B1"           840.565806                    3       33.58498422573                    0                    0      0.1746945621025                    0      0.5687043628753                    0                    0    0.008772375910332          34.55378803         0.5316618027          2.030387124                   21
         "BPM.16R2.B1"          894.0143219                    3       163.6008017123                    0                    0      0.9301741051924                    0      -2.250506822951                    0                    0     0.01437323988556          168.8466621         -2.284822343          2.164961946                   22
         "BPM.17R2.B1"          947.4628378                    3       33.21116264722                    0                    0      0.1245959989293                    0      0.4753437036552                    0                    0    0.003194936406812           33.1018588         0.5064064695          2.280761686                   21
         "BPM.18R2.B1"          1000.911354                    3       178.1859737433                    0                    0        1.34144609863                    0      -2.451514557416                    0                    0     0.02139455303628          170.3620412         -2.347613321          2.418448947                   21
         "BPM.19R2.B1"           1054.35987                    3        33.5370883913                    0                    0       0.210786952763                    0      0.5640930059332                    0                    0    0.007773069254269          34.55361173         0.5317333426          2.530656537                   21
         "BPM.20R2.B1"          1107.808386                    3       162.9069526708                    0                    0       2.690638827077                    0      -2.242706963872                    0                    0      0.0414550430789          168.8343194         -2.284669303          2.665238381                   21
         "BPM.21R2.B1"          1161.256901                    3       33.65058452287                    0                    0      0.3604499452739                    0      0.4750919867665                    0                    0     0.02214572407973          33.10203944         0.5063350054          2.781042915                   21
