@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/home/jdilly/link_gui_out/2018-10-31/models/LHCB1/flatopticsb1_60_15/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_01_48_047/Beam1@Turn@2018_10_30@13_01_48_047.sdds,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_03_13_684/Beam1@Turn@2018_10_30@13_03_13_684.sdds,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_04_27_548/Beam1@Turn@2018_10_30@13_04_27_548.sdds' '--output=/home/jdilly/link_gui_out/2018-10-31/LHCB1/Results/b1_md3312_forcoupling' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-10-31/models/LHCB1/flatopticsb1_60_15/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 09:59:47"
@ Q1 %le 0.2804633077706449
@ Q2 %le 0.3089519367132595
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_01_48_047/Beam1@Turn@2018_10_30@13_01_48_047.sdds.liny,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_03_13_684/Beam1@Turn@2018_10_30@13_03_13_684.sdds.liny,/home/jdilly/link_gui_out/2018-10-31/LHCB1/Measurements/Beam1@Turn@2018_10_30@13_04_27_548/Beam1@Turn@2018_10_30@13_04_27_548.sdds.liny"
*                 NAME                    S                COUNT                 BETY              SYSBETY             STATBETY              ERRBETY        CORR_ALFABETA                 ALFY              SYSALFY             STATALFY              ERRALFY              BETYMDL              ALFYMDL               MUYMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5L2.B1"               28.288                    3       46.44748660568                    0                    0      0.3803038606864                    0     -0.9455031889589                    0                    0    0.006066048496782          47.16086663        -0.9585970237        0.08859974516                   44
        "BPMYB.4L2.B1"               48.858                    3        102.085127675                    0                    0      0.7788087212161                    0      -1.788503262168                    0                    0    0.009715078450766          103.8138956         -1.795560922         0.1360894605                   35
        "BPMWI.4L2.B1"              73.3255                    3       104.3009344461                    0                    0       1.226527470293                    0      0.2911952632081                    0                    0     0.01071429765133          104.8866204         0.3083601053         0.1709311898                   35
        "BPMSX.4L2.B1"             123.4825                    3       101.5818704566                    0                    0      0.9337806352142                    0     -0.2273200904613                    0                    0    0.008644699770725          100.2196204        -0.2153122755         0.2522885672                   35
         "BPMS.2L2.B1"              161.394                    3       177.7721525344                    0                    0       1.677458394776                    0       11.04642869265                    0                    0     0.04686970270615          173.4265764           10.8384745         0.2958173515                   42
        "BPMSW.1L2.B1"              171.328                    3        57.6157973669                    0                    0      0.8835611195117                    0        2.16313283276                    0                    0       0.018878682717           56.6344025               2.1595         0.3137632467                   34
        "BPMSW.1R2.B1"              214.518                    3       55.62920266007                    0                    0      0.9710704148049                    0      -2.172974590282                    0                    0     0.01334690443529           56.6344025              -2.1595         0.6757218771                   34
         "BPMS.2R2.B1"              224.452                    3       63.69307613418                    0                    0       1.450936521202                    0       1.317889616661                    0                    0      0.0244709990244          63.40362159          1.298304992         0.6991468053                   40
        "BPMSX.4R2.B1"             262.3635                    3       170.6262021676                    0                    0       1.529862758975                    0       1.271413953437                    0                    0    0.008788609084137          170.5390163          1.242144867         0.7495501836                   33
        "BPMWB.4R2.B1"             312.5965                    3       83.06595599607                    0                    0      0.4378793974946                    0      0.4988107684826                    0                    0    0.006879756414015           83.3716715         0.4931157147         0.8187592129                   34
        "BPMYB.4R2.B1"              336.988                    3       81.95903726111                    0                    0      0.4346627954632                    0      -1.481563353832                    0                    0     0.01126991759924          82.44247367         -1.492402257         0.8700205755                   42
         "BPMR.5R2.B1"              366.522                    3       160.9933948646                    0                    0       1.335944582872                    0       2.281931527494                    0                    0     0.01133722169498          161.6005802          2.278952506         0.9070855285                   43
          "BPM.6R2.B1"              439.818                    3       45.37242530449                    0                    0      0.6783757921814                    0      -1.867305465846                    0                    0     0.01999650940609          44.83756494         -1.843633291          1.164290874                   44
        "BPM_A.7R2.B1"              452.693                    3       110.0073618851                    0                    0       1.298807360049                    0      -3.147466415665                    0                    0     0.02056179108182          108.5742775         -3.106790989          1.193828726                   45
