@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/b2_flat_60_15cm/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_22_34_230/Beam2@Turn@2018_06_12@12_22_34_230.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_24_51_972/Beam2@Turn@2018_06_12@12_24_51_972.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_28_28_987/Beam2@Turn@2018_06_12@12_28_28_987.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@13_01_09_523/Beam2@Turn@2018_06_12@13_01_09_523.sdds' '--output=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Results/b2_MD2148_afterglobal' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/b2_flat_60_15cm/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 14:49:54"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB2"
@ Q1 %le 0.2679297067767941
@ Q2 %le 0.3199503306020988
@ FILES %s "/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_22_34_230/Beam2@Turn@2018_06_12@12_22_34_230.sdds.linx,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_24_51_972/Beam2@Turn@2018_06_12@12_24_51_972.sdds.linx,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_28_28_987/Beam2@Turn@2018_06_12@12_28_28_987.sdds.linx,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@13_01_09_523/Beam2@Turn@2018_06_12@13_01_09_523.sdds.linx"
*                 NAME                    S                COUNT                    X                 STDX                 XMDL               MUXMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    4     0.02973227064038     0.01031641501451                    0        0.01353502073
         "BPMR.6R8.B2"              100.346                    4     -0.6634214979217    0.002685370742743                    0         0.3166786938
        "BPM_A.7R8.B2"              122.586                    4     -0.0705424754719    0.005434883396736                    0         0.3535462333
          "BPM.8R8.B2"          164.0249894                    4     -0.2674509434052    0.002566209099707                    0         0.4460597907
          "BPM.9R8.B2"          203.0919788                    4       -0.82249825387    0.004915466059054                    0         0.7241558661
         "BPM.10R8.B2"          243.5569682                    4     0.08693213481723    0.006286694762785                    0         0.8129301392
         "BPM.11R8.B2"          295.3976576                    4     -0.4732899563137     0.01804657782448                    0         0.9224955855
         "BPM.12R8.B2"          350.1241417                    4    -0.02161749299528    0.009646229829032                    0          1.048210397
         "BPM.13R8.B2"          403.5756258                    4   -0.001180788529333     0.01570073745689                    0          1.206770454
         "BPM.14R8.B2"          457.0271099                    4     -0.9740199233935    0.004068819835421                    0          1.320242507
         "BPM.15R8.B2"           510.478594                    4      -1.722334197348    0.002326100295243                    0          1.456428028
         "BPM.16R8.B2"          563.9300781                    4      -1.189818931398    0.002843485433367                    0          1.570641278
         "BPM.17R8.B2"          617.3815622                    4        0.14037501816    0.007214673995207                    0          1.706771123
         "BPM.18R8.B2"          670.8330463                    4     -0.3777966416853    0.008553447613446                    0          1.820242507
         "BPM.19R8.B2"          724.2845304                    4     0.00446290425821     0.02079378570125                    0          1.956428028
         "BPM.20R8.B2"          777.7360145                    4     0.05184971419207     0.01131467104622                    0          2.070641278
         "BPM.21R8.B2"          831.1874986                    4       0.214996815535     0.01674496268227                    0          2.206771123
         "BPM.22R8.B2"          884.6389827                    4     -0.1819698573022    0.003985720446332                    0          2.320242507
         "BPM.23R8.B2"          938.0904667                    4    0.001430494591416    0.004070015617625                    0          2.456428028
         "BPM.24R8.B2"          991.5419508                    4     -0.2130760003062    0.003002606213016                    0          2.570641278
         "BPM.25R8.B2"          1044.993435                    4     0.08365553670862    0.007256201768197                    0          2.706771123
         "BPM.26R8.B2"          1098.444919                    4    -0.06623087799447     0.00795170049235                    0          2.820242507
         "BPM.27R8.B2"          1151.896403                    4       0.188535017793     0.01880996496159                    0          2.956428028
         "BPM.28R8.B2"          1205.347887                    4      -0.558945170557       0.011076457857                    0          3.070641278
         "BPM.29R8.B2"          1258.799371                    4      0.3421100968833     0.01473198854339                    0          3.206771122
         "BPM.30R8.B2"          1312.250855                    4     -0.4433444634413     0.00814687651632                    0          3.320242507
