@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/b2_flat_60_15cm/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_22_34_230/Beam2@Turn@2018_06_12@12_22_34_230.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_24_51_972/Beam2@Turn@2018_06_12@12_24_51_972.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_28_28_987/Beam2@Turn@2018_06_12@12_28_28_987.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@13_01_09_523/Beam2@Turn@2018_06_12@13_01_09_523.sdds' '--output=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Results/b2_MD2148_afterglobal' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/b2_flat_60_15cm/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 14:49:54"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB2"
@ Q1 %le 0.2679297067767941
@ Q2 %le 0.3199503306020988
@ FILES %s "/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_22_34_230/Beam2@Turn@2018_06_12@12_22_34_230.sdds.liny,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_24_51_972/Beam2@Turn@2018_06_12@12_24_51_972.sdds.liny,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_28_28_987/Beam2@Turn@2018_06_12@12_28_28_987.sdds.liny,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@13_01_09_523/Beam2@Turn@2018_06_12@13_01_09_523.sdds.liny"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    4     -0.7717174638565    0.003844077620716                    0        0.02892363191
         "BPMR.6R8.B2"              100.346                    4     -0.2103429232925     0.00192400695952                    0         0.4071359381
        "BPM_A.7R8.B2"              122.586                    4     -0.4590731669393    0.001896127264291                    0          0.447678739
          "BPM.8R8.B2"          164.0249894                    4      0.6731306130952    0.003163133897305                    0          0.775334811
          "BPM.9R8.B2"          203.0919788                    4      0.1977803881397    0.002489798245877                    0         0.8364677385
         "BPM.10R8.B2"          243.5569682                    4     -0.2745844550877     0.00388059816465                    0         0.8673824283
         "BPM.11R8.B2"          295.3976576                    4     -0.4309153946578    0.003335035878706                    0         0.8998365902
         "BPM.12R8.B2"          350.1241417                    4       0.456693677101    0.001595410689803                    0          1.061899375
         "BPM.13R8.B2"          403.5756258                    4     -0.1492766708452    0.001225772107765                    0          1.320670158
         "BPM.14R8.B2"          457.0271099                    4     0.09949942156498     0.00946039067468                    0          1.372692225
         "BPM.15R8.B2"           510.478594                    4      0.4351877179177    0.003790680616725                    0          1.404057201
         "BPM.16R8.B2"          563.9300781                    4     -0.1315562194875    0.002651096618272                    0          1.552326438
         "BPM.17R8.B2"          617.3815622                    4      -0.514701448275    0.001814171157642                    0           1.82066771
         "BPM.18R8.B2"          670.8330463                    4      0.0737843764941    0.006082407257691                    0          1.872692225
         "BPM.19R8.B2"          724.2845304                    4     -0.2545536191088    0.002434286477346                    0          1.904057201
         "BPM.20R8.B2"          777.7360145                    4      0.4616020089337    0.002739434608907                    0          2.052326438
         "BPM.21R8.B2"          831.1874986                    4      -0.449882078983    0.003352153171554                    0           2.32066771
         "BPM.22R8.B2"          884.6389827                    4      0.3506766633105     0.00668426532751                    0          2.372692225
         "BPM.23R8.B2"          938.0904667                    4     -0.1617799653483    0.005142866068388                    0          2.404057201
         "BPM.24R8.B2"          991.5419508                    4     0.04728394361845    0.002820089664144                    0          2.552326438
         "BPM.25R8.B2"          1044.993435                    4     -0.4809323123495    0.001322963898593                    0           2.82066771
         "BPM.26R8.B2"          1098.444919                    4     -0.1783995812795     0.01097299991327                    0          2.872692225
         "BPM.27R8.B2"          1151.896403                    4      0.2401625894535    0.003110403067371                    0          2.904057201
         "BPM.29R8.B2"          1258.799371                    4     -0.2763611405785    0.005712141388604                    0           3.32066771
         "BPM.30R8.B2"          1312.250855                    4      0.3116094164693    0.005896882070353                    0          3.372692225
         "BPM.31R8.B2"           1365.70234                    4     -0.3310603251142    0.001987003693544                    0          3.404057201
