@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/b2_flat_60_15cm/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_22_34_230/Beam2@Turn@2018_06_12@12_22_34_230.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_24_51_972/Beam2@Turn@2018_06_12@12_24_51_972.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_28_28_987/Beam2@Turn@2018_06_12@12_28_28_987.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@13_01_09_523/Beam2@Turn@2018_06_12@13_01_09_523.sdds' '--output=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Results/b2_MD2148_afterglobal' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/b2_flat_60_15cm/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 14:49:54"
@ Q1 %le 0.2799296467767967
@ Q2 %le 0.3099502906021046
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_22_34_230/Beam2@Turn@2018_06_12@12_22_34_230.sdds.linx,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_24_51_972/Beam2@Turn@2018_06_12@12_24_51_972.sdds.linx,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_28_28_987/Beam2@Turn@2018_06_12@12_28_28_987.sdds.linx,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@13_01_09_523/Beam2@Turn@2018_06_12@13_01_09_523.sdds.linx"
*                 NAME                    S                COUNT                 BETX              SYSBETX             STATBETX              ERRBETX        CORR_ALFABETA                 ALFX              SYSALFX             STATALFX              ERRALFX              BETXMDL              ALFXMDL               MUXMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    4       68.16223290211                    0                    0       3.387387120909                    0     -0.6736705437697                    0                    0     0.04251656812853          221.7358394         -1.924976415        0.01353502073                   41
         "BPMR.6R8.B2"              100.346                    4       49.50350669369                    0                    0      0.6931691469126                    0      -2.205043652325                    0                    0     0.03705665184022          42.82949093          -2.31366035         0.3166786938                   34
        "BPM_A.7R8.B2"              122.586                    4       210.1525499902                    0                    0       2.189266919841                    0      -5.193401059721                    0                    0     0.05191792768363           219.109185         -5.612584888         0.3535462333                   42
          "BPM.8R8.B2"          164.0249894                    4       15.80942563401                    0                    0      0.3291222206183                    0      0.9533724314907                    0                    0     0.02381581494835           17.8828181          1.103666891         0.4460597907                   42
          "BPM.9R8.B2"          203.0919788                    4        105.547174871                    0                    0       1.021240590954                    0      -2.910251609445                    0                    0     0.02098921438877          105.6114157         -2.906647498         0.7241558661                   33
         "BPM.10R8.B2"          243.5569682                    4       41.78255229724                    0                    0      0.2926058821704                    0      0.6020458653944                    0                    0     0.01104816432065           41.2440156         0.6050648176         0.8129301392                   27
         "BPM.11R8.B2"          295.3976576                    4       194.1283739066                    0                    0       2.328016632443                    0      -2.527193881276                    0                    0     0.03524268800941          191.2759769         -2.497513655         0.9224955855                   41
         "BPM.12R8.B2"          350.1241417                    4       26.73866831484                    0                    0      0.2070711730967                    0      0.5113448383228                    0                    0    0.008961733356678          27.08355485         0.4981742178          1.048210397                   42
         "BPM.13R8.B2"          403.5756258                    4       169.9698473119                    0                    0       1.568954330679                    0      -2.569784847675                    0                    0     0.02297402725975          171.8507787         -2.580298707          1.206770454                   32
         "BPM.14R8.B2"          457.0271099                    4       33.47812334526                    0                    0      0.2540822408897                    0      0.5178984686091                    0                    0     0.01363891516219          33.57383557         0.5312698927          1.320242507                   26
         "BPM.15R8.B2"           510.478594                    4       171.5215875947                    0                    0       1.681259922726                    0      -2.346978973969                    0                    0     0.02840719382147           171.206063         -2.347088159          1.456428028                   31
         "BPM.16R8.B2"          563.9300781                    4       34.21955105425                    0                    0      0.2717556570996                    0      0.5442731551531                    0                    0     0.01229097467839           33.4043324         0.5235892189          1.570641278                   31
         "BPM.17R8.B2"          617.3815622                    4       172.4768407257                    0                    0      0.9785030769642                    0      -2.345827224304                    0                    0      0.0146487876181          172.1794384         -2.364756011          1.706771123                   23
         "BPM.18R8.B2"          670.8330463                    4       33.36640473428                    0                    0      0.1376218386104                    0      0.5310546548137                    0                    0    0.004956732157247          33.57383557         0.5312698927          1.820242507                   21
         "BPM.19R8.B2"          724.2845304                    4       169.9783615935                    0                    0       1.901608950514                    0      -2.330885394497                    0                    0     0.03255529105348           171.206063         -2.347088159          1.956428028                   21
         "BPM.20R8.B2"          777.7360145                    4       34.03732022114                    0                    0      0.1723915352123                    0      0.5221786736351                    0                    0    0.007788953224201           33.4043324         0.5235892189          2.070641278                   21
