@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/b2_flat_60_15cm/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_22_34_230/Beam2@Turn@2018_06_12@12_22_34_230.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_24_51_972/Beam2@Turn@2018_06_12@12_24_51_972.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_28_28_987/Beam2@Turn@2018_06_12@12_28_28_987.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@13_01_09_523/Beam2@Turn@2018_06_12@13_01_09_523.sdds' '--output=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Results/b2_MD2148_afterglobal' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/b2_flat_60_15cm/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 14:49:54"
@ Q1 %le 0.2799296467767967
@ Q2 %le 0.3099502906021046
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_22_34_230/Beam2@Turn@2018_06_12@12_22_34_230.sdds.liny,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_24_51_972/Beam2@Turn@2018_06_12@12_24_51_972.sdds.liny,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@12_28_28_987/Beam2@Turn@2018_06_12@12_28_28_987.sdds.liny,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_06_12@13_01_09_523/Beam2@Turn@2018_06_12@13_01_09_523.sdds.liny"
*                 NAME                    S                COUNT                 BETY              SYSBETY             STATBETY              ERRBETY        CORR_ALFABETA                 ALFY              SYSALFY             STATALFY              ERRALFY              BETYMDL              ALFYMDL               MUYMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    4       24.42462335645                    0                    0      0.2843338181166                    0      0.7879241468157                    0                    0     0.01144474229361           47.4901452            2.5172504        0.02892363191                   42
         "BPMR.6R8.B2"              100.346                    4       103.3113497002                    0                    0       1.208471561126                    0       3.910805310848                    0                    0     0.01954383469629          241.8534098          7.034382892         0.4071359381                   34
        "BPM_A.7R8.B2"              122.586                    4       31.47956289651                    0                    0      0.4379740503378                    0       2.227437815604                    0                    0     0.00856910144863          32.20657297          2.392183512          0.447678739                   35
          "BPM.8R8.B2"          164.0249894                    4       192.7179333924                    0                    0       0.861678420268                    0      -2.859921394557                    0                    0    0.004565434686177          95.43990572         -2.887006693          0.775334811                   44
          "BPM.9R8.B2"          203.0919788                    4       73.40402945154                    0                    0      0.6019335293977                    0      0.7845609161976                    0                    0    0.002640157799858          93.85651228        0.09750493238         0.8364677385                   43
         "BPM.10R8.B2"          243.5569682                    4       613.7394756762                    0                    0        6.83011352718                    0      -9.964391471332                    0                    0     0.05160564272428          612.3140409         -10.30272032         0.8673824283                   33
         "BPM.11R8.B2"          295.3976576                    4       84.89244048401                    0                    0      0.6681991450691                    0       3.002864853568                    0                    0     0.01653509625815          89.40890197          3.123780161         0.8998365902                   26
         "BPM.12R8.B2"          350.1241417                    4       49.91443869084                    0                    0      0.3778406998641                    0     -0.4443684521047                    0                    0    0.002838306608353          52.64873928        -0.3488483867          1.061899375                   33
         "BPM.13R8.B2"          403.5756258                    4       49.69659411144                    0                    0      0.3373224380886                    0     -0.8941304787373                    0                    0     0.00231435720644          47.07412321        -0.9318653176          1.320670158                   31
         "BPM.14R8.B2"          457.0271099                    4       659.9562952828                    0                    0       7.539672795547                    0      -9.494069566564                    0                    0     0.06850956886674          676.5012732         -9.757754788          1.372692225                   23
         "BPM.15R8.B2"           510.478594                    4       91.18931355677                    0                    0      0.8033421342474                    0       3.091054373419                    0                    0     0.02738783096373          95.36465674          3.232356579          1.404057201                   21
         "BPM.16R8.B2"          563.9300781                    4       50.70435096057                    0                    0      0.6315518175135                    0     -0.3001590852981                    0                    0    0.004427528328847          53.34677182        -0.2587626057          1.552326438                   21
         "BPM.17R8.B2"          617.3815622                    4       48.83976428831                    0                    0      0.4614112912592                    0     -0.9296789484532                    0                    0    0.007262643395118          46.98384279        -0.9907812203           1.82066771                   21
         "BPM.18R8.B2"          670.8330463                    4       660.0843795532                    0                    0       7.682645616882                    0      -9.606352330162                    0                    0     0.06639000359887          676.5012732         -9.757754788          1.872692225                   21
         "BPM.19R8.B2"          724.2845304                    4       89.82723844067                    0                    0      0.6548273581297                    0       3.140210012797                    0                    0     0.02286654811916          95.36465674          3.232356579          1.904057201                   21
         "BPM.20R8.B2"          777.7360145                    4       49.68179546659                    0                    0      0.5278542954636                    0     -0.3330344917021                    0                    0    0.004923972709813          53.34677183        -0.2587626057          2.052326438                   21
