@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/flattoptics_injecitonTunesB2/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_01_28_539/Beam2@Turn@2018_10_30@13_01_28_539.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_03_01_002/Beam2@Turn@2018_10_30@13_03_01_002.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_04_06_462/Beam2@Turn@2018_10_30@13_04_06_462.sdds' '--output=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Results/b2_MD3312_forcoupling' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/flattoptics_injecitonTunesB2/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 14:51:59"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB2"
@ Q1 %le 0.2688187400485257
@ Q2 %le 0.32395199049127005
@ FILES %s "/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_01_28_539/Beam2@Turn@2018_10_30@13_01_28_539.sdds.linx,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_03_01_002/Beam2@Turn@2018_10_30@13_03_01_002.sdds.linx,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_04_06_462/Beam2@Turn@2018_10_30@13_04_06_462.sdds.linx"
*                 NAME                    S                COUNT                    X                 STDX                 XMDL               MUXMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3     -0.3437624037701    0.007735363644822                    0        0.01353502073
         "BPMR.6R8.B2"              100.346                    3     -0.6287583905203    0.000863479699489                    0         0.3166786938
        "BPM_A.7R8.B2"              122.586                    3    -0.08831299520793    0.001879233620985                    0         0.3535462333
          "BPM.8R8.B2"          164.0249894                    3     -0.1525418375424    0.002444661801412                    0         0.4460597907
          "BPM.9R8.B2"          203.0919788                    3     -0.9182686135942    0.004611141031453                    0         0.7241558661
         "BPM.10R8.B2"          243.5569682                    3      0.1816194350108    0.001167279628757                    0         0.8129301392
         "BPM.11R8.B2"          295.3976576                    3     -0.5088061166024    0.004107380259677                    0         0.9224955855
         "BPM.12R8.B2"          350.1241417                    3    -0.09208241915253    0.003552710835867                    0          1.048210397
         "BPM.13R8.B2"          403.5756258                    3    -0.06190216894683    0.001904915787479                    0          1.206770454
         "BPM.14R8.B2"          457.0271099                    3     -0.9696553165276    0.000348077340522                    0          1.320242507
         "BPM.15R8.B2"           510.478594                    3      -1.642186593416   0.0008930833306885                    0          1.456428028
         "BPM.16R8.B2"          563.9300781                    3      -1.159896270842    0.002514261393124                    0          1.570641278
         "BPM.17R8.B2"          617.3815622                    3      0.1761478354531    0.003356971697606                    0          1.706771123
         "BPM.18R8.B2"          670.8330463                    3     -0.3652241698307    0.004761982344698                    0          1.820242507
         "BPM.19R8.B2"          724.2845304                    3    -0.02599358268029    0.004678095845201                    0          1.956428028
         "BPM.20R8.B2"          777.7360145                    3    -0.00291225106708    0.005074931180255                    0          2.070641278
         "BPM.21R8.B2"          831.1874986                    3      0.1861315538514    0.005371902075313                    0          2.206771123
         "BPM.22R8.B2"          884.6389827                    3     -0.2146476466642   0.0003214178215006                    0          2.320242507
         "BPM.23R8.B2"          938.0904667                    3     0.05446837913162    0.001154642598361                    0          2.456428028
         "BPM.24R8.B2"          991.5419508                    3     -0.1872120033105    0.002711749455703                    0          2.570641278
         "BPM.25R8.B2"          1044.993435                    3      0.1570917304524    0.001031193092616                    0          2.706771123
         "BPM.26R8.B2"          1098.444919                    3    -0.06379468714699    0.002758284459676                    0          2.820242507
         "BPM.27R8.B2"          1151.896403                    3      0.1120055174306    0.002400604532951                    0          2.956428028
         "BPM.28R8.B2"          1205.347887                    3     -0.5669791040941    0.001405996813259                    0          3.070641278
         "BPM.29R8.B2"          1258.799371                    3      0.3023130967766     0.00195867762679                    0          3.206771122
         "BPM.30R8.B2"          1312.250855                    3     -0.4849269801942    0.001177186479709                    0          3.320242507
         "BPM.31R8.B2"           1365.70234                    3      0.1236236502134    0.001685981391581                    0          3.456428028
         "BPM.32R8.B2"          1419.153824                    3     -0.1982896406531   0.0003183503694465                    0          3.570641278
         "BPM.33R8.B2"          1472.605308                    3     0.04534004950028   0.0006688824725654                    0          3.706771122
         "BPM.34R8.B2"          1526.056792                    3    -0.07177829748394    0.001166327829755                    0          3.820242507
         "BPM.33L1.B2"          1579.508276                    3      0.2963321967435    0.003096152899897                    0          3.956428028
         "BPM.32L1.B2"           1632.95976                    3     -0.6936268571577    0.003363173461592                    0          4.070641278
         "BPM.31L1.B2"          1686.411244                    3      0.2174438518306      0.0028626183373                    0          4.206771122
         "BPM.30L1.B2"          1739.862728                    3      -0.356952981302   0.0008850610607362                    0          4.320242507
         "BPM.29L1.B2"          1793.314212                    3      0.2641045123965    0.001461289767312                    0          4.456428028
         "BPM.28L1.B2"          1846.765696                    3     -0.1522033086298    0.003294424450453                    0          4.570641278
         "BPM.27L1.B2"           1900.21718                    3      0.0392952637228    0.002124317474217                    0          4.706771122
         "BPM.26L1.B2"          1953.668665                    3     -0.4497054036974   0.0005312650960301                    0          4.820242507
         "BPM.25L1.B2"          2007.120149                    3      0.3714573100601   0.0008782001905327                    0          4.956428028
         "BPM.24L1.B2"          2060.571633                    3     -0.2051191792692     0.00173402950674                    0          5.070641278
         "BPM.23L1.B2"          2114.023117                    3     -0.2652226115921    0.001977822954351                    0          5.206771122
         "BPM.22L1.B2"          2167.474601                    3      0.4295150283138    0.001195785751793                    0          5.320242506
         "BPM.21L1.B2"          2220.926085                    3       0.276716196055    0.001977237082642                    0          5.456428028
         "BPM.20L1.B2"          2274.377569                    3     -0.5516255570483   0.0007345813371496                    0          5.570641278
