@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/flattoptics_injecitonTunesB2/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_01_28_539/Beam2@Turn@2018_10_30@13_01_28_539.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_03_01_002/Beam2@Turn@2018_10_30@13_03_01_002.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_04_06_462/Beam2@Turn@2018_10_30@13_04_06_462.sdds' '--output=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Results/b2_MD3312_forcoupling' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/flattoptics_injecitonTunesB2/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 14:51:59"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB2"
@ Q1 %le 0.2688187400485257
@ Q2 %le 0.32395199049127005
@ FILES %s "/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_01_28_539/Beam2@Turn@2018_10_30@13_01_28_539.sdds.liny,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_03_01_002/Beam2@Turn@2018_10_30@13_03_01_002.sdds.liny,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_04_06_462/Beam2@Turn@2018_10_30@13_04_06_462.sdds.liny"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3     -0.6390850868794    0.006633770018817                    0        0.02892363191
         "BPMR.6R8.B2"              100.346                    3      -0.306686687623    0.002768887923889                    0         0.4071359381
        "BPM_A.7R8.B2"              122.586                    3      -0.617124836185    0.003763893287146                    0          0.447678739
          "BPM.8R8.B2"          164.0249894                    3      0.7852269154238    0.001653476814049                    0          0.775334811
          "BPM.9R8.B2"          203.0919788                    3      0.2492119116432    0.003597359553106                    0         0.8364677385
         "BPM.10R8.B2"          243.5569682                    3     -0.1590310683033    0.002686408368826                    0         0.8673824283
         "BPM.11R8.B2"          295.3976576                    3     -0.4265215214689    0.001701672601176                    0         0.8998365902
         "BPM.12R8.B2"          350.1241417                    3      0.4380105940406    0.002385484036818                    0          1.061899375
         "BPM.13R8.B2"          403.5756258                    3     -0.1530498664189    0.002094104482697                    0          1.320670158
         "BPM.14R8.B2"          457.0271099                    3    -0.03825560841494     0.00527971272394                    0          1.372692225
         "BPM.15R8.B2"           510.478594                    3      0.3957294573372    0.003101864679855                    0          1.404057201
         "BPM.16R8.B2"          563.9300781                    3     -0.1274700285385    0.001230711910075                    0          1.552326438
         "BPM.17R8.B2"          617.3815622                    3     -0.4449341107506    0.002863404394096                    0           1.82066771
         "BPM.18R8.B2"          670.8330463                    3      0.1773937200307     0.00183319682784                    0          1.872692225
         "BPM.19R8.B2"          724.2845304                    3      -0.226674539208    0.002842913296113                    0          1.904057201
         "BPM.20R8.B2"          777.7360145                    3      0.4242268683584    0.002173092202998                    0          2.052326438
         "BPM.21R8.B2"          831.1874986                    3     -0.4869452493607    0.004607603739585                    0           2.32066771
         "BPM.22R8.B2"          884.6389827                    3      0.2611897812421     0.00279887442067                    0          2.372692225
         "BPM.23R8.B2"          938.0904667                    3     -0.2049738326989    0.002025199556654                    0          2.404057201
         "BPM.24R8.B2"          991.5419508                    3      0.0260277655438   0.0005163647381213                    0          2.552326438
         "BPM.25R8.B2"          1044.993435                    3     -0.4291372600136    0.001528401310977                    0           2.82066771
         "BPM.26R8.B2"          1098.444919                    3    -0.03289781780582    0.001348637808737                    0          2.872692225
         "BPM.27R8.B2"          1151.896403                    3      0.2794307681559    0.003464138197278                    0          2.904057201
         "BPM.28R8.B2"          1205.347887                    3      0.1942147210368    0.004182962593432                    0          3.052326438
         "BPM.29R8.B2"          1258.799371                    3     -0.3111427260488    0.003331481080622                    0           3.32066771
         "BPM.30R8.B2"          1312.250855                    3       0.234237916984     0.00120494401862                    0          3.372692225
         "BPM.31R8.B2"           1365.70234                    3     -0.3508118619198    0.004380102920029                    0          3.404057201
         "BPM.32R8.B2"          1419.153824                    3       0.179850125075    0.001832467440521                    0          3.552326438
         "BPM.33R8.B2"          1472.605308                    3      -0.696447585514    0.001081789894169                    0           3.82066771
         "BPM.34R8.B2"          1526.056792                    3      0.1188708195712    0.001420968404201                    0          3.872692225
         "BPM.33L1.B2"          1579.508276                    3     0.07164270654678   0.0009829565697101                    0          3.904057201
         "BPM.32L1.B2"           1632.95976                    3      0.3890751125277    0.001909375711162                    0          4.052326438
         "BPM.31L1.B2"          1686.411244                    3     -0.7466129692989    0.003146925620598                    0           4.32066771
         "BPM.30L1.B2"          1739.862728                    3      0.3530398372901    0.000579302843354                    0          4.372692225
         "BPM.29L1.B2"          1793.314212                    3     -0.2768035390344   0.0005034895734248                    0          4.404057201
         "BPM.28L1.B2"          1846.765696                    3    -0.03502249083196    0.002536206559757                    0          4.552326438
         "BPM.27L1.B2"           1900.21718                    3     -0.2413629695273   0.0009926484884706                    0           4.82066771
         "BPM.26L1.B2"          1953.668665                    3     0.01889727584816    0.001948319014949                    0          4.872692225
         "BPM.25L1.B2"          2007.120149                    3    -0.01633543969217   5.240863607412e-05                    0          4.904057201
         "BPM.24L1.B2"          2060.571633                    3      0.1341234049865    0.001186123391955                    0          5.052326438
         "BPM.23L1.B2"          2114.023117                    3     0.08522321474523    0.001419653725594                    0           5.32066771
         "BPM.22L1.B2"          2167.474601                    3      0.1815017767107    0.003271535676814                    0          5.372692225
         "BPM.21L1.B2"          2220.926085                    3     -0.5241266293502    0.001625206771978                    0          5.404057201
         "BPM.20L1.B2"          2274.377569                    3     0.06815826696821    0.001356320929427                    0          5.552326438
         "BPM.19L1.B2"          2327.829053                    3     -0.4534534532668    0.003234220767257                    0           5.82066771
         "BPM.18L1.B2"          2381.280537                    3      0.1710101845182    0.000507238597454                    0          5.872692225
         "BPM.17L1.B2"          2434.732021                    3     -0.1426139121597    0.001665545890138                    0          5.904057201
         "BPM.16L1.B2"          2488.183506                    3      0.3482188338168    0.001166277365297                    0          6.052326438
         "BPM.15L1.B2"           2541.63499                    3     -0.4283775751313    0.001615279011071                    0           6.32066771
         "BPM.14L1.B2"          2595.086474                    3      0.1586760678647    0.002833080602971                    0          6.372692225
         "BPM.13L1.B2"          2648.537958                    3    -0.02578320437167    0.001084134015164                    0          6.404057201
         "BPM.12L1.B2"          2701.989442                    3      -0.161709948682    0.002853115317501                    0          6.554146835
         "BPM.11L1.B2"          2755.440926                    3     -0.1475371054843    0.001666427107086                    0           6.82513072
         "BPM.10L1.B2"          2808.223615                    3      0.4514036930727    0.001358830621805                    0          6.875717015
          "BPM.9L1.B2"          2847.290605                    3      -1.044051853028    0.001208964186012                    0          6.898119912
          "BPM.8L1.B2"          2887.755594                    3      0.2026385748522    0.003213224984306                    0          7.079208335
          "BPM.7L1.B2"          2926.823584                    3      0.1185228449221    0.001552377854719                    0          7.327720604
        "BPMSX.7L1.B2"          2957.502084                    3      0.1962687775329     0.00108520576693                    0          7.365679902
         "BPMR.6L1.B2"          2970.007584                    3      0.3026984137838    0.002821004559663                    0          7.368632709
          "BPM.5L1.B2"          3001.907584                    3     -0.5283596307932    0.005563745424307                    0          7.372892286
        "BPMYA.4L1.B2"          3023.025584                    3     -0.1816003281587    0.003999164710129                    0          7.374320036
        "BPMWB.4L1.B2"          3044.082084                    3     -0.1662099142592    0.002822538332221                    0          7.375257631
        "BPMSY.4L1.B2"          3136.938084                    3      -1.094241659008    0.008090375780425                    0          7.378161867
         "BPMS.2L1.B2"          3163.723584                    3     -0.9789961406848    0.001451749523069                    0          7.378588174
        "BPMSW.1L1.B2"          3173.673584                    3     -0.8713647611179    0.005586001249184                    0          7.378901184
        "BPMSW.1R1.B2"          3216.816584                    3    -0.06708684744385     0.01004699321549                    0          7.876688163
         "BPMS.2R1.B2"          3226.781584                    3      0.4469647662067     0.00581850604293                    0          7.877091226
        "BPMSY.4R1.B2"          3253.567084                    3     -0.3318298161878    0.009538028657282                    0           7.87771265
        "BPMWB.4R1.B2"          3346.423084                    3      0.2008540218067    0.003447495185529                    0          7.880410964
        "BPMYA.4R1.B2"          3367.479584                    3      0.4489491373242    0.005795485948677                    0          7.882727794
         "BPMR.5R1.B2"          3394.887584                    3     -0.1573602276872    0.008272950430087                    0          7.890337517
          "BPM.6R1.B2"          3426.787584                    3     -0.3495667827099    0.004649547334105                    0          8.311767813
        "BPMRA.7R1.B2"          3454.511584                    3       0.208386168419    0.004103773485244                    0          8.363443995
          "BPM.8R1.B2"          3495.948594                    3      0.2878513170439    0.002619909808418                    0          8.394447543
          "BPM.9R1.B2"          3535.013605                    3     -0.3610554951015     0.01104242471758                    0          8.676499481
         "BPM.10R1.B2"          3575.476615                    3    -0.03318325920785    0.001846230479268                    0          8.835731835
         "BPM.11R1.B2"          3628.257326                    3      0.1029115108219    0.004500562739328                    0           8.88242468
         "BPM.12R1.B2"          3682.980842                    3     -0.1680047898947    0.002064103968241                    0          8.912447765
         "BPM.13R1.B2"          3736.429358                    3      0.2420545031123    0.003972492318362                    0          9.056292608
         "BPM.14R1.B2"          3789.877874                    3     -0.2407274926219    0.001921448659854                    0          9.321521893
         "BPM.15R1.B2"           3843.32639                    3      0.1822099817103     0.00186450756333                    0          9.372996352
         "BPM.16R1.B2"          3896.774906                    3     -0.5450870703628    0.004210899240744                    0          9.404477567
         "BPM.17R1.B2"          3950.223421                    3    -0.05041343615242    0.002844742414701                    0          9.556171348
         "BPM.18R1.B2"          4003.671937                    3   -0.008701563518355    0.002328079389693                    0           9.82149666
         "BPM.19R1.B2"          4057.120453                    3      0.0615980547568    0.008683012906306                    0          9.872987216
         "BPM.20R1.B2"          4110.568969                    3     -0.1530913426669    0.003067369676509                    0           9.90446479
         "BPM.21R1.B2"          4164.017485                    3      0.1594919227512    0.005686088929784                    0          10.05605272
         "BPM.23R1.B2"          4270.914517                    3      0.1670128990771    0.002623784002404                    0          10.37297808
         "BPM.24R1.B2"          4324.363033                    3     -0.5746562406287   0.0002006180936827                    0          10.40445202
         "BPM.25R1.B2"          4377.811549                    3    -0.04335625519327    0.003674363097361                    0          10.55593418
         "BPM.26R1.B2"          4431.260065                    3      0.1065026774122    0.002606146488835                    0          10.82144615
         "BPM.27R1.B2"           4484.70858                    3    -0.01480648769007    0.002739150271448                    0          10.87296894
         "BPM.28R1.B2"          4538.157096                    3      0.1089661031665    0.001481190856247                    0          10.90443925
         "BPM.29R1.B2"          4591.605612                    3      0.1250095848595    0.002595309430237                    0          11.05581571
         "BPM.30R1.B2"          4645.054128                    3     -0.1367099511207    0.001729610657961                    0          11.32142088
         "BPM.31R1.B2"          4698.502644                    3     0.01470199744312    0.002029570913559                    0          11.37295981
