@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/flattoptics_injecitonTunesB2/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_01_28_539/Beam2@Turn@2018_10_30@13_01_28_539.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_03_01_002/Beam2@Turn@2018_10_30@13_03_01_002.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_04_06_462/Beam2@Turn@2018_10_30@13_04_06_462.sdds' '--output=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Results/b2_MD3312_forcoupling' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/flattoptics_injecitonTunesB2/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 14:51:59"
@ Q1 %le 0.2808186800485283
@ Q2 %le 0.3089518904912754
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_01_28_539/Beam2@Turn@2018_10_30@13_01_28_539.sdds.linx,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_03_01_002/Beam2@Turn@2018_10_30@13_03_01_002.sdds.linx,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_04_06_462/Beam2@Turn@2018_10_30@13_04_06_462.sdds.linx"
*                 NAME                    S                COUNT                 BETX              SYSBETX             STATBETX              ERRBETX        CORR_ALFABETA                 ALFX              SYSALFX             STATALFX              ERRALFX              BETXMDL              ALFXMDL               MUXMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       212.3610015377                    0                    0       2.246512417862                    0      -1.866657669811                    0                    0      0.0337361815937          221.7358394         -1.924976415        0.01353502073                   42
         "BPMR.6R8.B2"              100.346                    3       44.09954351826                    0                    0      0.5261241605525                    0      -2.341878103064                    0                    0     0.02546621996787          42.82949093          -2.31366035         0.3166786938                   35
        "BPM_A.7R8.B2"              122.586                    3       220.1798224265                    0                    0       2.005204613631                    0       -5.58358708773                    0                    0     0.04879226337046           219.109185         -5.612584888         0.3535462333                   43
          "BPM.8R8.B2"          164.0249894                    3       17.43022364306                    0                    0      0.1790245421447                    0       1.076704755209                    0                    0     0.01496546201155           17.8828181          1.103666891         0.4460597907                   44
          "BPM.9R8.B2"          203.0919788                    3       106.8179032897                    0                    0      0.7582578712211                    0      -2.936596262745                    0                    0     0.01718265467407          105.6114157         -2.906647498         0.7241558661                   42
         "BPM.10R8.B2"          243.5569682                    3       41.80400483831                    0                    0      0.4090228697566                    0      0.6222697755443                    0                    0     0.01556741109044           41.2440156         0.6050648176         0.8129301392                   28
         "BPM.11R8.B2"          295.3976576                    3       191.9660081555                    0                    0       1.571888515704                    0       -2.49414456571                    0                    0     0.02499982148662          191.2759769         -2.497513655         0.9224955855                   42
         "BPM.12R8.B2"          350.1241417                    3       26.63945287069                    0                    0     0.09766589679429                    0      0.4891214084351                    0                    0    0.005365596370702          27.08355485         0.4981742178          1.048210397                   43
         "BPM.13R8.B2"          403.5756258                    3       172.7974579721                    0                    0       1.696674224967                    0      -2.607746204975                    0                    0     0.02896972141149          171.8507787         -2.580298707          1.206770454                   33
         "BPM.14R8.B2"          457.0271099                    3       33.64881801375                    0                    0      0.3519803796612                    0      0.5242118035017                    0                    0     0.01070197409268          33.57383557         0.5312698927          1.320242507                   26
         "BPM.15R8.B2"           510.478594                    3       171.8487627595                    0                    0       2.154029732309                    0      -2.359290828428                    0                    0     0.03604894893061           171.206063         -2.347088159          1.456428028                   31
         "BPM.16R8.B2"          563.9300781                    3       34.04369654308                    0                    0      0.2698027056563                    0      0.5304394094898                    0                    0     0.01497328604785           33.4043324         0.5235892189          1.570641278                   31
         "BPM.17R8.B2"          617.3815622                    3       173.1004786793                    0                    0       2.647311731586                    0      -2.359341389642                    0                    0     0.03856618011342          172.1794384         -2.364756011          1.706771123                   23
         "BPM.18R8.B2"          670.8330463                    3       33.55964544445                    0                    0      0.3474885134147                    0      0.5307573053397                    0                    0     0.01229979054033          33.57383557         0.5312698927          1.820242507                   21
