@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/home/jdilly/link_betabeat/GetLLM/GetLLM.py' '--accel=LHCB2' '--model=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/flattoptics_injecitonTunesB2/twiss.dat' '--files=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_01_28_539/Beam2@Turn@2018_10_30@13_01_28_539.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_03_01_002/Beam2@Turn@2018_10_30@13_03_01_002.sdds,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_04_06_462/Beam2@Turn@2018_10_30@13_04_06_462.sdds' '--output=/home/jdilly/link_gui_out/2018-11-01/LHCB2/Results/b2_MD3312_forcoupling' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=0' '--errordefs=/home/jdilly/link_gui_out/2018-11-01/models/LHCB2/flattoptics_injecitonTunesB2/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam2' '--range=11'"
@ CWD %s "/media/jdilly/Storage/Repositories/BetaBeatGui/beta-beating-cwd"
@ Date %s "01. November 2018, 14:51:59"
@ Q1 %le 0.2808186800485283
@ Q2 %le 0.3089518904912754
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_01_28_539/Beam2@Turn@2018_10_30@13_01_28_539.sdds.liny,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_03_01_002/Beam2@Turn@2018_10_30@13_03_01_002.sdds.liny,/home/jdilly/link_gui_out/2018-11-01/LHCB2/Measurements/Beam2@Turn@2018_10_30@13_04_06_462/Beam2@Turn@2018_10_30@13_04_06_462.sdds.liny"
*                 NAME                    S                COUNT                 BETY              SYSBETY             STATBETY              ERRBETY        CORR_ALFABETA                 ALFY              SYSALFY             STATALFY              ERRALFY              BETYMDL              ALFYMDL               MUYMDL        NCOMBINATIONS
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYB.5R8.B2"               16.238                    3       47.14224560799                    0                    0      0.5109166094109                    0       2.470057103597                    0                    0     0.01035586805009           47.4901452            2.5172504        0.02892363191                   42
         "BPMR.6R8.B2"              100.346                    3       239.3406935222                    0                    0       3.367358845729                    0       6.924483088222                    0                    0     0.08040944646355          241.8534098          7.034382892         0.4071359381                   34
        "BPM_A.7R8.B2"              122.586                    3       31.23235659662                    0                    0       1.043149624849                    0       2.333141724516                    0                    0     0.05545678788559          32.20657297          2.392183512          0.447678739                   35
          "BPM.8R8.B2"          164.0249894                    3       97.70018188707                    0                    0       1.127247699392                    0      -2.910354444936                    0                    0      0.0152942203056          95.43990572         -2.887006693          0.775334811                   44
          "BPM.9R8.B2"          203.0919788                    3       95.39591463062                    0                    0      0.5813070457751                    0      0.1469813922932                    0                    0    0.004896153690435          93.85651228        0.09750493238         0.8364677385                   43
         "BPM.10R8.B2"          243.5569682                    3       616.1512879988                    0                    0       4.540978646928                    0      -10.24280696827                    0                    0     0.05266087979135          612.3140409         -10.30272032         0.8673824283                   33
         "BPM.11R8.B2"          295.3976576                    3       84.85567835183                    0                    0       1.336708938653                    0       3.023093582479                    0                    0     0.04128615097571          89.40890197          3.123780161         0.8998365902                   26
         "BPM.12R8.B2"          350.1241417                    3       49.51341918851                    0                    0      0.6615118848934                    0     -0.4330986142948                    0                    0     0.00574144345555          52.64873928        -0.3488483867          1.061899375                   33
         "BPM.13R8.B2"          403.5756258                    3       49.99543946136                    0                    0       0.511733098126                    0     -0.8615781145326                    0                    0    0.007390148188199          47.07412321        -0.9318653176          1.320670158                   31
         "BPM.14R8.B2"          457.0271099                    3       666.8164879267                    0                    0       8.068470412427                    0      -9.521100368805                    0                    0     0.07988554689744          676.5012732         -9.757754788          1.372692225                   23
         "BPM.15R8.B2"           510.478594                    3        90.6364408567                    0                    0      0.7988122689465                    0        3.14094909694                    0                    0     0.01636829424371          95.36465674          3.232356579          1.404057201                   21
         "BPM.16R8.B2"          563.9300781                    3       50.08066169953                    0                    0       1.097800358752                    0     -0.3111098585903                    0                    0     0.01118780015026          53.34677182        -0.2587626057          1.552326438                   21
         "BPM.17R8.B2"          617.3815622                    3       49.05046666085                    0                    0      0.4403727847988                    0     -0.9440280052975                    0                    0    0.006659504516411          46.98384279        -0.9907812203           1.82066771                   21
         "BPM.18R8.B2"          670.8330463                    3       671.4428173409                    0                    0        5.60310406032                    0      -9.548746476025                    0                    0     0.04567364637692          676.5012732         -9.757754788          1.872692225                   21
